username,Display Name,Profile pic,topmate_link,category,title,earnings,bookings,source,classification_method,earnings_rank ,category_link
syednadeem,Syed Nadeem Architect-Devops,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Syed-Nadeem-1668923396.jpeg,https://topmate.io/syednadeem,Cloud & DevOps,,149515,1204,top400earners,llm_haiku,7,https://awards.topmate.io/cloud-devops
ana_pedra,Ana Pedra,https://static.topmate.io/fLkU7sNrCnZoG2gzNodmEH.png,https://topmate.io/ana_pedra,Cloud & DevOps,,142345,37,top400earners,llm_haiku,8,https://awards.topmate.io/cloud-devops
thoughtfultechycloud,Greg Powell,https://topmate-staging.s3.amazonaws.com/awKtsY9QN8uYXn2TAc95cM.JPG,https://topmate.io/thoughtfultechycloud,Cloud & DevOps,,106821,14,top400earners,original,9,https://awards.topmate.io/cloud-devops
manish_kumar568,MANISH Tiwari,https://static.topmate.io/pJWq9H8dxfdBuC7d98Ecxc.jpg,https://topmate.io/manish_kumar568,Cloud & DevOps,"Lead DevOps Engineer, DevOps Trainer, YouTuber with 6.9k+ Subscribers, Career Guidance Coach",106399,55,categorizedusers,original,10,https://awards.topmate.io/cloud-devops
techwithjaspal,Jaspal Singh,https://static.topmate.io/h1ThqPcvXMXwgGWE5ULQue.jpg,https://topmate.io/techwithjaspal,Cloud & DevOps,,103252,100,top400earners,original,11,https://awards.topmate.io/cloud-devops
sandip_das_official,Sandip Das,https://topmate-staging.s3.ap-south-1.amazonaws.com/pKyeHJxX5JuYwuJ9NRCMu9.jpeg,https://topmate.io/sandip_das_official,Cloud & DevOps,"Senior Cloud & DevOps, DevOps, MLOps & ML Platform Engineer | AWS Hero | 100k+ on Youtube @learnTechWithSandip | Founder & Author of LearnXops.com",89413,175,categorizedusers,original,12,https://awards.topmate.io/cloud-devops
rahul_vijayan,RAHUL VIJAYAN,https://static.topmate.io/h9kVrXNVYSahpi6sWaEt42.png,https://topmate.io/rahul_vijayan,Cloud & DevOps,"Software Engineer at TCS, specialize in backend development and Cloud & DevOps technologies.",84696,511,categorizedusers,original,13,https://awards.topmate.io/cloud-devops
abhishek_veeramalla,Abhishek Veeramalla,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_caf332f8-b480-4277-bc68-9dcc8f24a541.jpeg,https://topmate.io/abhishek_veeramalla,Cloud & DevOps,,77179,378,top400earners,llm_haiku,14,https://awards.topmate.io/cloud-devops
mark_tinderholt,Mark Tinderholt,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Mark-Tinderholt-1697995504.jpeg,https://topmate.io/mark_tinderholt,Cloud & DevOps,,72874,4,top400earners,llm_haiku,15,https://awards.topmate.io/cloud-devops
ajit_lonkar,Ajit Lonkar,https://static.topmate.io/oaKMkNJyr2yJLwE9GgW15U.jpg,https://topmate.io/ajit_lonkar,Cloud & DevOps,Sr. DevOps Engineer @JP Morgan Chase | 9+ Years of Expertise | CKA & AWS Certified | Helping DevOps Professionals Land More Interviews with my DevOps Resume e-book | Open for referrals | Mentor,69991,204,categorizedusers,original,16,https://awards.topmate.io/cloud-devops
prodevopsguytech,ProDevOpsGuy Tech Community,https://topmate-staging.s3.amazonaws.com/nZFSJqAiqcNLTXfzkebo8f.png,https://topmate.io/prodevopsguytech,Cloud & DevOps,Best Cloud & DevOps + DevOps Resources 2025,52808,89,categorizedusers,original,17,https://awards.topmate.io/cloud-devops
learn_googlecloud_with_mahesh,Mahesh Kumar RP,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Mahesh Kumar -RP-1674762494.jpeg,https://topmate.io/learn_googlecloud_with_mahesh,Cloud & DevOps,Google Cloud & DevOps Platform (GCP) Evangelist | GCP Trainer | GCP Consultant | YouTuber 19K+ Subscribers,52256,46,categorizedusers,original,18,https://awards.topmate.io/cloud-devops
theparasthakur,Paras Thakur,https://static.topmate.io/vEjyH2vDh93Qn6JfgTbZkM.jpeg,https://topmate.io/theparasthakur,Cloud & DevOps,"I am Paras Thakur, Cloud & DevOps Solutions Specialist.I worked as a Cloud & DevOps Engineer at Amazon.",40272,76,categorizedusers,original,19,https://awards.topmate.io/cloud-devops
vineeth_16,Vineeth Nacharam,https://static.topmate.io/tMRNrGeX8CPZvYpZpQZqJb.png,https://topmate.io/vineeth_16,Cloud & DevOps,DevOps & AWS Engineer |Cloud & DevOps Application Developer | Python Developer,40226,11,categorizedusers,original,20,https://awards.topmate.io/cloud-devops
mentoringbyaneri,Aneri Patel,https://topmate-staging.s3.amazonaws.com/6s3VQUmofgA9PkLe6FZeZ3.png,https://topmate.io/mentoringbyaneri,Lifestyle & Personal Growth,"Fashion Designer| Career Counsellor| Business Coach1:1 Fashion Career & Business Consultation for fashion brands, designers | NIFT Alumnus 2015",598183,194,categorizedusers,original,1,https://awards.topmate.io/lifestyle-personal-growth
fashion_collective,Fashion Collective,https://static.topmate.io/r5XvE5vNjxcYrshTaEyHZa.jpg,https://topmate.io/fashion_collective,Lifestyle & Personal Growth,,182835,194,top400earners,llm_haiku,2,https://awards.topmate.io/lifestyle-personal-growth
dontayoung,Donta Young,https://static.topmate.io/maBdNtX2JbjZ7gcfLaUfFD.jpg,https://topmate.io/dontayoung,Lifestyle & Personal Growth,,180525,38,top400earners,llm_haiku,3,https://awards.topmate.io/lifestyle-personal-growth
riyah_samnani,Riyah Samnani,https://static.topmate.io/h79uYT5BeLKLArKuyAA87n.jpg,https://topmate.io/riyah_samnani,Lifestyle & Personal Growth,,172037,223,top400earners,llm_haiku,4,https://awards.topmate.io/lifestyle-personal-growth
reshma_santhosh,Reshma Santhosh,https://static.topmate.io/cjffayeScEzcBkXt22YdVe.jpeg,https://topmate.io/reshma_santhosh,Lifestyle & Personal Growth,,153014,693,top400earners,llm_haiku,5,https://awards.topmate.io/lifestyle-personal-growth
travel,Prakriti & Ashish | Escape to Landscapes,https://static.topmate.io/tivvVQX4iBNnjcZ1u2DJAW.jpg,https://topmate.io/travel,Lifestyle & Personal Growth,,144524,721,top400earners,llm_haiku,6,https://awards.topmate.io/lifestyle-personal-growth
glowandgain,Glow & Gain,https://static.topmate.io/6S7ZbEwcKscc4chyBbPTCJ.jpg,https://topmate.io/glowandgain,Lifestyle & Personal Growth,,131541,5266,top400earners,llm_haiku,7,https://awards.topmate.io/lifestyle-personal-growth
maheshtelugutraveller,Mahesh Telugu Traveller,https://topmate-staging.s3.ap-south-1.amazonaws.com/9h1cnM7DYeXT8YkYVC1uFB.png,https://topmate.io/maheshtelugutraveller,Lifestyle & Personal Growth,,68730,288,top400earners,llm_haiku,8,https://awards.topmate.io/lifestyle-personal-growth
nikitha_lathief,Nikitha Lathief,https://topmate-staging.s3.amazonaws.com/59eMqmseqZkWeiyPDvTH72.jpeg,https://topmate.io/nikitha_lathief,Lifestyle & Personal Growth,,58876,52,top400earners,llm_haiku,9,https://awards.topmate.io/lifestyle-personal-growth
priyanka_abhijit,Priyanka Abhijit,https://static.topmate.io/riSoN11Zkjj1vZAgEcJFTo.jpg,https://topmate.io/priyanka_abhijit,Lifestyle & Personal Growth,Priyanka Abhijit | Life Coach For Women,56505,74,categorizedusers,original,10,https://awards.topmate.io/lifestyle-personal-growth
born2wins,Rama Coachpreneur,https://static.topmate.io/pQWVKSaFosWvf5qVTxp6c4.png,https://topmate.io/born2wins,Lifestyle & Personal Growth,"Meta Mind‚Ñ¢ Certified Coach I Coaching Executive Leaders to Achieve Holistic Growth through Quantum Leadership, Mindfulness & Spiritual Growth | Author | Gen AI Advocate | Mindful Life & Leadership Coach | Coachpreneur | Happiness Coach |",44519,50,categorizedusers,original,11,https://awards.topmate.io/lifestyle-personal-growth
rutuja_lingampalle,Rutuja Lingampalle,https://static.topmate.io/ucafrzrSFS1cQVnFFVk2cV.JPG,https://topmate.io/rutuja_lingampalle,Lifestyle & Personal Growth,"ICF Certified Life & Executive Coach | Helping Leaders get more Confident, Visible, Wealthy and Emotionally Intelligent | Business Mentor for Life Coaches | Author",43401,25,categorizedusers,original,12,https://awards.topmate.io/lifestyle-personal-growth
evolvewithseemaa,Evolve with Seemapuri,https://static.topmate.io/wrTRHs5gqA3vQm7QBncv8T.JPG,https://topmate.io/evolvewithseemaa,Lifestyle & Personal Growth,Soft skill educator/Personality Development Coach/Etiquette Consultant/Grooming Expert,36754,14,categorizedusers,original,13,https://awards.topmate.io/lifestyle-personal-growth
dr_simmi_roy_mishra,Dr Simmi Roy Mishra,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Dr Simmi Roy-Mishra-1687264014.jpeg,https://topmate.io/dr_simmi_roy_mishra,Lifestyle & Personal Growth,Doctor| PCC-ICF| Mindset Coach|,34084,22,categorizedusers,original,14,https://awards.topmate.io/lifestyle-personal-growth
shweta_tripathi,Shweta Tripathi,https://static.topmate.io/8MujUVcbdwsho2EA37Twmj.jpg,https://topmate.io/shweta_tripathi,Lifestyle & Personal Growth,Mentor || Communication & Personality Development Coach || Career Counsellor || Life Coach || HR & Resume Expert,26202,78,categorizedusers,original,15,https://awards.topmate.io/lifestyle-personal-growth
ekta_db,Ekta DB,https://static.topmate.io/mr9eexr3txepeMBbaDfgCW.JPEG,https://topmate.io/ekta_db,Coaching & Personal Development,Mental Health & Relationship Coach,805805,197,categorizedusers,original,1,https://awards.topmate.io/coaching-personal-development
pavni_verma,Pavni Verma,https://static.topmate.io/4y8SHpVV8viCCVPAePzcea.jpg,https://topmate.io/pavni_verma,Coaching & Personal Development,,179088,55,top400earners,llm_haiku,2,https://awards.topmate.io/coaching-personal-development
manifestwithtanviiii,Tanvi Rateria,https://static.topmate.io/vB2Wnutxfu6L7fx3AZnwVb.jpg,https://topmate.io/manifestwithtanviiii,Coaching & Personal Development,,131197,240,top400earners,llm_haiku,3,https://awards.topmate.io/coaching-personal-development
lori_golden,Lori Golden,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_ab7ea66e-42ef-4084-b84d-4ba4f3987e02.jpeg,https://topmate.io/lori_golden,Coaching & Personal Development,,118690,42,top400earners,original,4,https://awards.topmate.io/coaching-personal-development
manahsparsh,Manahsparsh,https://topmate-staging.s3.amazonaws.com/dZ3S6Egifg4FEjrcnjbaKw.jpeg,https://topmate.io/manahsparsh,Coaching & Personal Development,,110785,24,top400earners,original,5,https://awards.topmate.io/coaching-personal-development
bluehairedunicorn,Madison Butler 🏳️‍🌈🦄,https://topmate-staging.s3.ap-south-1.amazonaws.com/arz5RyrnBMPEd5JpwHZGu4.jpeg,https://topmate.io/bluehairedunicorn,Coaching & Personal Development,,106489,13,top400earners,original,6,https://awards.topmate.io/coaching-personal-development
mansi_shah10,Mansi Sheth,https://static.topmate.io/t8ycsn8JMuHZJ49Swy6e8T.png,https://topmate.io/mansi_shah10,Coaching & Personal Development,,104827,78,top400earners,original,7,https://awards.topmate.io/coaching-personal-development
yajandua,Yajan Dua,https://static.topmate.io/tY3EKS2yDPesx9RmbTWGY1.jpg,https://topmate.io/yajandua,Coaching & Personal Development,,103539,44,top400earners,original,8,https://awards.topmate.io/coaching-personal-development
rupali_abrol,Rupali Abrol,https://static.topmate.io/dkogZos3xg694RCLTDhjho.jpeg,https://topmate.io/rupali_abrol,Coaching & Personal Development,"Rupali Abrol is a dedicated relationship adviser, life coach, and self-improvement helping individuals and couples achieve their personal and relationship goals.",99977,59,categorizedusers,original,9,https://awards.topmate.io/coaching-personal-development
jyoti_pandey10,Adv. Jyoti Pandey,https://static.topmate.io/vV62PE9EEA4Ur1hkFzgew5.png,https://topmate.io/jyoti_pandey10,Coaching & Personal Development,,98157,540,top400earners,llm_haiku,10,https://awards.topmate.io/coaching-personal-development
octavia_goredema,Octavia Goredema,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_009f1685-f2dd-428d-8ff5-9cc0c8675fd5.jpeg,https://topmate.io/octavia_goredema,Coaching & Personal Development,,93624,6,top400earners,llm_haiku,11,https://awards.topmate.io/coaching-personal-development
yourcareerwings,"Sharon Markowitz, Career Coach, Marketer",https://topmate-staging.s3.amazonaws.com/g1Bxr1giZpFUSntcyqiv6w.jpeg,https://topmate.io/yourcareerwings,Coaching & Personal Development,,93209,95,top400earners,llm_haiku,12,https://awards.topmate.io/coaching-personal-development
andy_smit,Andy Smit,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_908e5c81-cb96-40f7-9047-6104e81fb018.jpeg,https://topmate.io/andy_smit,Coaching & Personal Development,,86652,3,top400earners,llm_haiku,13,https://awards.topmate.io/coaching-personal-development
riyanshi_agrawal,Riyanshi Agrawal,https://static.topmate.io/w5kTGR1vUpSNgHK5styg8v.jpg,https://topmate.io/riyanshi_agrawal,Coaching & Personal Development,Helping you become a Trained Life Coach with a 6 fig business | Helping You Become Unapologetically Self Confident with Trauma Healing + Deep Coaching,84190,20,categorizedusers,original,14,https://awards.topmate.io/coaching-personal-development
kushal_sahabani,Kushal Sahabani,https://topmate-staging.s3.ap-south-1.amazonaws.com/d3Wa4TPE7pbK5JkewxNjAm.jpeg,https://topmate.io/kushal_sahabani,Coaching & Personal Development,,78162,28,top400earners,llm_haiku,15,https://awards.topmate.io/coaching-personal-development
akanksshaa,Akanksshaa,https://static.topmate.io/vRk5jVZ3QfJLE3gBdfnsTC.png,https://topmate.io/akanksshaa,Coaching & Personal Development,Multidimensional Channel | Akashic Soul Guide | Ascension Mentor | Podcaster | Chopra Meditation & Ayurveda Teacher | NBC-HWC | Mindset & Well-being Coach | PQ Coach | Bestselling Author | Founder: Mind N Beyond & Arnav Memorial Foundation,69565,14,categorizedusers,original,16,https://awards.topmate.io/coaching-personal-development
abhishek_singh33,Abhishek Singh,https://topmate-staging.s3.ap-south-1.amazonaws.com/5RL89Z3csBWM8VRwxv1XYd.jpeg,https://topmate.io/abhishek_singh33,Coaching & Personal Development,Let's improve your mental health | 40k+ YouTube (Abhishen - Previously Life Simplified ‡§π‡§ø‡§®‡•ç‡§¶‡•Ä),65589,73,categorizedusers,original,17,https://awards.topmate.io/coaching-personal-development
siara_ramos,Siara Ramos,https://static.topmate.io/ikikxgrBKqAM1hjLq69SgA.JPEG,https://topmate.io/siara_ramos,Coaching & Personal Development,,64076,11,top400earners,llm_haiku,18,https://awards.topmate.io/coaching-personal-development
career_connection_consulting,Kevin Grunewald,https://topmate-staging.s3.ap-south-1.amazonaws.com/tXVsotSRSqmVrpueQSPw4v.JPG,https://topmate.io/career_connection_consulting,Coaching & Personal Development,,62665,10,top400earners,llm_haiku,19,https://awards.topmate.io/coaching-personal-development
the_jaslife,Jass,https://static.topmate.io/1oR9ZZdfkViZJBZpocyjpC.JPG,https://topmate.io/the_jaslife,Coaching & Personal Development,"REBT Mindset life Coach.Most of your problems can be solved just by speaking them out loud,  welcome to place where you can speak your heart out and I will help you unwind your overthinking.",62241,299,categorizedusers,original,20,https://awards.topmate.io/coaching-personal-development
paranthakur,Paran Thakur,https://static.topmate.io/kwBpWmUYv1kQTnVAiFqjHw.JPG,https://topmate.io/paranthakur,Coaching & Personal Development,,57704,4521,top400earners,llm_haiku,21,https://awards.topmate.io/coaching-personal-development
theayushimathur,Ayushi Mathur,https://topmate-staging.s3.ap-south-1.amazonaws.com/xeL2Yby7EmRerkewSmYknP.jpeg,https://topmate.io/theayushimathur,Coaching & Personal Development,"‚ú®I help you heal, build confidence, & attract the right kinda love!",0,,,,22,https://awards.topmate.io/coaching-personal-development
jayababu,JAYA BABU,https://static.topmate.io/uZ5R7iZqYbLVDVEVVgeqos.jpg,https://topmate.io/jayababu,Coaching & Personal Development,Emotional Intelligence (EQ) & Leadership Skills & Soft Skills Trainer -,0,,,,23,https://awards.topmate.io/coaching-personal-development
sahaja_madhuri,Sahaja Madhuri,https://static.topmate.io/vwuzRkEAk6MJDHNQzGJ5zd.JPG,https://topmate.io/sahaja_madhuri,Coaching & Personal Development,"Empowering your journey towards growth, balance, and fulfillment",0,,,,24,https://awards.topmate.io/coaching-personal-development
smriti_pandey,Smriti Pandey,https://static.topmate.io/fCriKEdK4RzGCJenuFGnpy.jpg,https://topmate.io/smriti_pandey,Coaching & Personal Development,Personal development| Mindset shifting|,0,,,,25,https://awards.topmate.io/coaching-personal-development
fizakazim,Fiza Kazim,https://topmate-staging.s3.ap-south-1.amazonaws.com/nCXR9TBqaUEUumG8eEiQqD.jpg,https://topmate.io/fizakazim,"Content, Branding & Creative","Copywriter | Marketing Strategist | Personal Branding Expert | Creative Enthusiast | Worked with Nykaa, Amazon and more!",517537,48,categorizedusers,original,1,https://awards.topmate.io/content-branding-creative
join2manish,Manish Pandey,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Manish-Pandey-1750230309.jpeg,https://topmate.io/join2manish,"Content, Branding & Creative","Mentor to Content Creators, Coach For Growth",484847,26,categorizedusers,original,2,https://awards.topmate.io/content-branding-creative
gobizwithme,Somya singh,https://static.topmate.io/uD5uRZn6X9Eb98rDB7owC4.jpg,https://topmate.io/gobizwithme,"Content, Branding & Creative",,469946,158,top400earners,original,3,https://awards.topmate.io/content-branding-creative
ashok_aggarwal,Ashok Aggarwal,https://static.topmate.io/sGL6XrQiR5xDTEPGXg6oSN.jpeg,https://topmate.io/ashok_aggarwal,"Content, Branding & Creative","429k+ @ Instagram | 10k @ Youtube | Prev. Founder's Office @ Unstop | Invest India (Govt of India) | Guest @ LSR, SRCC, Miranda House | Incisiv, New York (Research Intern)| Not a mentor!",443808,4908,categorizedusers,original,4,https://awards.topmate.io/content-branding-creative
riya_tiwari10,Riya Tiwari,https://static.topmate.io/bBqDQWjSJ7KzoLMGkxk4jw.jpeg,https://topmate.io/riya_tiwari10,"Content, Branding & Creative",,306334,63,top400earners,original,5,https://awards.topmate.io/content-branding-creative
sanjay_arora,Dr. Sanjay Arora,https://topmate-staging.s3.ap-south-1.amazonaws.com/qzZvN1X9sfS1qJjzKeiT2o.jpeg,https://topmate.io/sanjay_arora,"Content, Branding & Creative",,269360,97,top400earners,original,6,https://awards.topmate.io/content-branding-creative
neeraja_ganesh,Neeraja Ganesh,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_11764808-3c91-47eb-800b-872accaf4c57.jpeg,https://topmate.io/neeraja_ganesh,"Content, Branding & Creative",,218787,181,top400earners,original,7,https://awards.topmate.io/content-branding-creative
thebookmarketinggirl,The Book Marketing Girl,https://static.topmate.io/vN462shwu36kANTUtyt5Kf.png,https://topmate.io/thebookmarketinggirl,"Content, Branding & Creative",,211622,70,top400earners,original,8,https://awards.topmate.io/content-branding-creative
jatin_saini,Jatin Saini,https://static.topmate.io/1F6qhphYJXzfBxMs9kbrTR.png,https://topmate.io/jatin_saini,"Content, Branding & Creative",,149278,39,top400earners,llm_haiku,9,https://awards.topmate.io/content-branding-creative
soamjena,SOAMJENA,https://static.topmate.io/uw74eYR6dSzTRGPCEep49A.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAXXBHRVOSVXLSO4PD%2F20250823%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20250823T034052Z&X-Amz-Expires=300&X-Amz-SignedHeaders=content-type%3Bhost&X-Amz-Signature=3ce9b19dffb1984b72707a82ac0aa7f3333e6cfcb24406a5519c005520439c59,https://topmate.io/soamjena,"Content, Branding & Creative","For serious creators, entrepreneurs & successful individuals‚Äîguiding you to scale, monetize, optimize taxes, invest globally for higher ROI & build systems, workflows & frameworks for lasting growth.",148024,3,categorizedusers,original,10,https://awards.topmate.io/content-branding-creative
abhaypsrajawat,Abhay PS Rajawat,https://static.topmate.io/1RzySHDhaihUunNLANfBue.jpg,https://topmate.io/abhaypsrajawat,"Content, Branding & Creative",,147908,1773,top400earners,llm_haiku,11,https://awards.topmate.io/content-branding-creative
mehar_verma,Mehar Verma,https://static.topmate.io/sq4bdU4EwM6JCKCciNgMD9.jpg,https://topmate.io/mehar_verma,"Content, Branding & Creative",,126024,407,top400earners,llm_haiku,12,https://awards.topmate.io/content-branding-creative
gaurav,Gaurav Mehta,https://static.topmate.io/qxAXhBJYsief6SeUZZ9TN6.png,https://topmate.io/gaurav,"Content, Branding & Creative","(Linkedin Branding for Finance Leaders, CFO, Online Trainer)‚Ä¢ Want to be a CFO?  ‚Ä¢ Already a CFO looking for a JOB CHANGE‚Ä¢ Want a personal brand on LinkedIn to attract inbound opportunities? ‚Ü≥ Let's speak :)",123228,46,categorizedusers,original,13,https://awards.topmate.io/content-branding-creative
bankpediaa,Yogesh.,https://static.topmate.io/6w9qWEC8Bngqzvaqnf5yP8.webp,https://topmate.io/bankpediaa,"Content, Branding & Creative",Banking Career Strategist | Helping Bankers Navigate Career Transitions & Build Online Incomes | Mental Health Coach,114198,516,categorizedusers,original,14,https://awards.topmate.io/content-branding-creative
codeforvn,codeforvn,https://static.topmate.io/54RzRXe38ER6b4rXuHGVUo.png,https://topmate.io/codeforvn,"Content, Branding & Creative",,110117,1853,top400earners,original,15,https://awards.topmate.io/content-branding-creative
mohdaamirbeg,Mohd Aamir Beg,https://static.topmate.io/1fKeSESohw8poNkXNkQM1D.webp,https://topmate.io/mohdaamirbeg,"Content, Branding & Creative",,105938,77,top400earners,original,16,https://awards.topmate.io/content-branding-creative
ashleesong,Ashlee Song,https://static.topmate.io/oAg14L7fXMWhw2eJSxSQ3h.jpeg,https://topmate.io/ashleesong,"Content, Branding & Creative",,91300,57,top400earners,llm_haiku,17,https://awards.topmate.io/content-branding-creative
ashok_chetri,Ashok,https://topmate-staging.s3.amazonaws.com/a2EV1XzVecWcgp2WTfD7My.jpeg,https://topmate.io/ashok_chetri,"Content, Branding & Creative","Helping students crack top opportunities & earn early with smart content, not confusion. üöÄ140K+ @ Instagram |Digital Marketing| Driving strategic campaigns for brand growth with expertise in social media marketing|",91054,2602,categorizedusers,original,18,https://awards.topmate.io/content-branding-creative
avanirathore,Avani Rathore,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_95a29606-eabc-4e15-be51-63b6393f0323.jpeg,https://topmate.io/avanirathore,"Content, Branding & Creative",,88705,39,top400earners,llm_haiku,19,https://awards.topmate.io/content-branding-creative
themraadul,Mradul Sharma,https://topmate-staging.s3.amazonaws.com/jGTDn4W9P4Tva9BMQRWUXm.jpg,https://topmate.io/themraadul,"Content, Branding & Creative",,84902,77,top400earners,llm_haiku,20,https://awards.topmate.io/content-branding-creative
shweena_krishnani,Shweena Krishnani,https://static.topmate.io/2UN9SL9qu52aNzLN5rXZVH.jpg,https://topmate.io/shweena_krishnani,"Content, Branding & Creative",,72785,15,top400earners,llm_haiku,21,https://awards.topmate.io/content-branding-creative
careerwithhina,Hina Arora,https://static.topmate.io/d2Eoi9Zbi4GLsB2VPoRuy5.jpeg,https://topmate.io/careerwithhina,"Content, Branding & Creative",I help techies to create their online presence for Professional Growth | Engineering Manager @Jio | Technical Career Branding Coach | Having a community of 180K+ | Personal Branding Coach,65981,223,categorizedusers,original,22,https://awards.topmate.io/content-branding-creative
rosepensit,Rose Maria George,https://static.topmate.io/jPYwQAmJyHp83JXJFvSGHv.png,https://topmate.io/rosepensit,"Content, Branding & Creative",,65409,89,top400earners,llm_haiku,23,https://awards.topmate.io/content-branding-creative
shreya_jein,Shreya Jein,https://static.topmate.io/jgv5kxpsng6AXP8pSiT3QC.jpg,https://topmate.io/shreya_jein,"Content, Branding & Creative","On a journey to help people show up as the real them, online & offline.",0,,,,24,https://awards.topmate.io/content-branding-creative
neel_shah10,Neel Shah,https://topmate-staging.s3.ap-south-1.amazonaws.com/sYUeQydN3Hj1Jteewsv3TY.jpeg,https://topmate.io/neel_shah10,Data Analytics & Science,I am currently working as Big Data Developer and I have helped 2500+  Peoples to grow in their career in last few months,1067967,14,categorizedusers,original,1,https://awards.topmate.io/data-analytics-science
zero_analyst,Najir | Zero Analyst,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/profile_pic_27c18789-11a6-4789-85e8-3427de925760.jpeg,https://topmate.io/zero_analyst,Data Analytics & Science,"Senior Analyst ADNOC Group, UAE | Certified Power BI Developer | Mentor | SQL, Python, Tableau Expert | Power BI | AWS | Data Modeling | Advanced Excel | ETL",448149,600,categorizedusers,original,2,https://awards.topmate.io/data-analytics-science
techlao,Randy Lao,https://static.topmate.io/t38CUWdr3vtskhWyPaG3Fs.jpeg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAXXBHRVOSVXLSO4PD%2F20250822%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20250822T054302Z&X-Amz-Expires=300&X-Amz-SignedHeaders=content-type%3Bhost&X-Amz-Signature=e2747ebc6bd6bdde0e58563a8491ebf4510899f7962cb85c15936224f23f333f,https://topmate.io/techlao,Data Analytics & Science,,371093,7030,top400earners,original,3,https://awards.topmate.io/data-analytics-science
mazher_khan,MAZHER KHAN - IIT,https://topmate-staging.s3.amazonaws.com/9NQoYHEJu9apWSS5kdpZmK.png,https://topmate.io/mazher_khan,Data Analytics & Science,"Senior Data Analyst - 6 Years | Instagram - 160K+ |  IIT (DR-2) | Retail, E-commerce & Healthcare | Built a 200K+ Data Community (160K+ - Instagram) | SQL, Tableau, Python | Helped 55K+ Data Enthusiasts with Free Resources",359571,1601,categorizedusers,original,4,https://awards.topmate.io/data-analytics-science
learnwidgiggs,Shashank Singh,https://topmate-staging.s3.amazonaws.com/4Bh1q4Pf6FzcLugaYXUSDe.jpg,https://topmate.io/learnwidgiggs,Data Analytics & Science,I am currently working as a Senior Data Analyst and run a YouTube channel named 'LearnWidGiggs' helping people to grow in the data analytics domain.,317241,508,categorizedusers,original,5,https://awards.topmate.io/data-analytics-science
vivek_kumar52,Vivek Kumar,https://static.topmate.io/cvqfPU15521MFmauRR3i2f.jpeg,https://topmate.io/vivek_kumar52,Data Analytics & Science,,239589,2933,top400earners,original,6,https://awards.topmate.io/data-analytics-science
rajat_jain01,Rajat Jain,https://topmate-profile-pics.s3.ap-south-1.amazonaws.com/Rajat-Jain-1731575187.jpeg,https://topmate.io/rajat_jain01,Data Analytics & Science,Senior Data Analyst | Microsoft Certified Data Analyst | DAX | Power BI |  | Dashboard Developer | SQL | Power BI Trainer | Mentor | Data Visualization,231285,538,categorizedusers,original,7,https://awards.topmate.io/data-analytics-science
vinayak_kadam,Vinayak Kadam,https://topmate-staging.s3.amazonaws.com/oDM1zBbyy3tLp6VPdqWgS2.jpg,https://topmate.io/vinayak_kadam,Data Analytics & Science,"Microsoft Certified 8X üèÖ Trainer worked on Power BI, SQL, Azure, Qliksense End to End. Professional Corporate Trainer, Content creator, delivered Online Trainings and placed 1000 Students in Big MNCs.",206982,463,categorizedusers,original,8,https://awards.topmate.io/data-analytics-science
analyst,Data Analyst,https://topmate-staging.s3.ap-south-1.amazonaws.com/6ytuydkTZw6wKfDhno3GWN.png,https://topmate.io/analyst,Data Analytics & Science,Data Analyst | with 172000+ followers | I guide people aspiring for data analytics and BI roles | Data Science,118998,660,categorizedusers,original,9,https://awards.topmate.io/data-analytics-science
nitya_cloudtech,Aditya Chandak,,https://topmate.io/nitya_cloudtech,Data Analytics & Science,Freelancer | Senior Data Architect | Data Science | Artificial Intelligence | Machine Learning | Deep Learning | NLP,111325,422,categorizedusers,original,10,https://awards.topmate.io/data-analytics-science
andres_vourakis,Andre Vourakis,https://static.topmate.io/3WftATYVUHjaiDtCYf66R8.jpg,https://topmate.io/andres_vourakis,Data Analytics & Science,,106489,120,top400earners,original,11,https://awards.topmate.io/data-analytics-science
powerbi_masterclass,Power BI Masterclass,https://static.topmate.io/aDa4bWPCLqnwwRYHfrrgjc.jpg,https://topmate.io/powerbi_masterclass,Data Analytics & Science,,92130,560,top400earners,llm_haiku,12,https://awards.topmate.io/data-analytics-science
